日期,开盘,最高,最低,收盘,成交量,成交额
2021-09-24,1003.67,1015.13,975.55,996.90,65069293,52550692864.00
2021-09-27,1023.51,1029.40,955.72,977.89,63331937,57072205824.00
2021-09-28,958.72,1028.73,957.62,1023.33,67049677,59996631040.00
2021-09-29,1000.34,1022.34,978.52,981.24,82766876,75242553344.00
2021-09-30,977.83,1026.53,968.18,1021.72,81805347,71792295936.00
2021-10-08,1032.93,1034.20,962.74,974.71,68879037,60371488768.00
2021-10-11,981.76,987.14,925.92,939.06,68352121,55783305216.00
2021-10-12,920.23,943.37,887.01,920.11,66214665,52969807872.00
2021-10-13,909.00,909.12,870.30,876.10,50382753,39010766848.00
2021-10-14,863.25,895.07,853.88,879.38,47936130,38841409536.00
2021-10-15,872.47,889.64,854.32,876.99,48358886,38974599168.00
2021-10-18,877.43,913.39,877.43,910.93,56178853,45703348224.00
2021-10-19,910.60,928.25,904.00,919.84,54329093,46070960128.00
2021-10-20,914.77,952.18,912.96,948.26,68964830,56644194304.00
2021-10-21,944.32,944.32,923.57,931.58,55830856,46480015360.00
2021-10-22,928.85,930.59,897.34,897.39,49839611,40160710656.00
2021-10-25,902.82,929.67,898.05,922.74,50591067,45280489472.00
2021-10-26,922.45,944.24,920.68,927.61,63354640,56179855360.00
2021-10-27,926.46,962.70,923.91,960.48,77677682,69908742144.00
2021-10-28,957.24,969.39,934.55,943.21,74968502,69964005376.00
2021-10-29,938.96,943.76,904.41,941.06,65789687,58952355840.00
2021-11-01,934.97,959.83,924.40,950.69,68011711,62978920448.00
2021-11-02,947.33,947.33,909.56,917.06,65579703,60222742528.00
2021-11-03,914.85,920.44,899.41,913.27,48197960,44785594368.00
2021-11-04,915.95,943.49,914.00,939.11,54200157,50307350528.00
2021-11-05,935.72,935.72,898.21,898.21,63618887,58548355072.00
2021-11-08,893.77,897.97,882.84,894.96,43329447,39928524800.00
2021-11-09,911.78,925.61,901.49,907.64,48582652,45824167936.00
2021-11-10,897.91,899.84,880.99,899.58,44871501,40663011328.00
2021-11-11,897.33,899.55,888.00,891.56,35453501,32171616256.00
2021-11-12,891.04,904.02,887.31,901.16,35582285,33343311872.00
2021-11-15,899.92,905.62,890.84,905.62,37883200,35281137664.00
2021-11-16,903.99,903.99,893.19,894.28,33955496,31510654976.00
2021-11-17,894.08,909.46,892.35,908.46,34614741,33834584064.00
2021-11-18,906.93,927.24,904.43,919.62,45524026,45401710592.00
2021-11-19,916.55,925.16,905.55,924.55,38507983,37512986624.00
