日期,开盘,最高,最低,收盘,成交量,成交额
2023-12-18,995.81,995.81,982.79,985.40,77903956,59943190528.00
2023-12-19,981.38,982.53,964.22,972.12,70234430,57773441024.00
2023-12-20,969.57,971.21,955.52,956.03,65972103,52173905920.00
2023-12-21,948.65,959.45,939.56,957.00,66829929,52413677568.00
2023-12-22,954.65,954.99,927.40,931.07,72402316,55395237888.00
2023-12-25,926.54,928.78,916.69,923.79,55634179,43262951424.00
2023-12-26,922.77,923.51,910.51,912.67,53044672,43111247872.00
2023-12-27,910.99,916.66,904.28,915.79,55088614,46142144512.00
2023-12-28,911.81,927.31,903.96,923.57,69436259,63461621760.00
2023-12-29,922.05,938.21,921.91,937.75,58523782,48468180992.00
2024-01-02,939.11,950.55,939.11,947.10,43903600,36138921984.00
2024-01-03,944.33,949.05,940.37,947.46,42637011,34006554624.00
2024-01-04,946.49,947.01,941.56,946.17,52868221,39032123392.00
2024-01-05,945.24,947.10,924.93,929.21,61346067,43354263552.00
2024-01-08,927.92,931.05,918.41,918.41,56706610,41707663360.00
2024-01-09,919.21,931.26,916.39,925.32,66630843,46347616256.00
2024-01-10,920.93,921.49,907.71,912.55,64987163,47562653696.00
2024-01-11,909.51,928.97,909.51,927.75,67618724,53609394176.00
2024-01-12,924.81,928.59,915.87,916.35,67427869,49452548096.00
2024-01-15,910.62,921.07,909.60,916.30,62075134,45426978816.00
2024-01-16,915.92,916.20,899.60,911.86,69169658,51827257344.00
2024-01-17,910.23,910.59,888.81,888.81,61014359,45889327104.00
2024-01-18,880.17,882.03,856.20,881.08,71788022,54896775168.00
2024-01-19,879.79,883.03,870.82,871.35,47254591,33793216512.00
2024-01-22,867.33,868.25,814.88,821.26,59139888,40650883072.00
2024-01-23,817.14,823.13,800.64,819.38,42820642,26823872512.00
2024-01-24,822.31,846.77,816.14,846.70,53839801,34737905664.00
2024-01-25,850.34,889.27,848.94,889.26,47999295,34097125376.00
2024-01-26,891.47,913.05,890.67,901.38,42327049,30446213120.00
2024-01-29,903.00,905.28,875.71,876.25,35905605,28884209664.00
2024-01-30,868.04,875.05,846.83,847.94,39613132,28072863744.00
2024-01-31,838.84,844.82,803.73,806.53,56226965,38288994304.00
2024-02-01,796.38,796.38,767.39,776.80,45964163,30341773312.00
2024-02-02,775.43,790.83,722.30,747.02,52752620,33925003264.00
2024-02-05,737.38,737.38,667.37,671.35,47089371,25710487552.00
2024-02-06,639.55,682.44,614.19,658.93,60416307,28740204544.00
2024-02-07,660.12,660.12,614.39,621.12,63910747,28965621760.00
2024-02-08,618.36,669.53,608.30,669.30,65685296,29474609152.00
2024-02-19,677.72,704.33,677.72,703.11,54144318,27304026112.00
2024-02-20,702.44,715.67,691.10,714.33,39305929,20568018944.00
2024-02-21,708.62,753.16,704.83,734.64,49544184,26929514496.00
2024-02-22,734.92,758.79,734.92,758.79,44772632,25081462784.00
2024-02-23,762.74,786.87,759.59,786.40,49895115,29477459968.00
2024-02-26,789.86,813.42,784.01,800.09,47248158,29524946944.00
2024-02-27,796.82,823.15,791.77,823.15,45040220,28269934592.00
2024-02-28,824.56,842.16,765.67,765.68,67376523,41779163136.00
2024-02-29,754.42,794.77,754.42,794.76,49811555,30880305152.00
2024-03-01,797.18,803.67,788.78,800.55,40275467,25624606720.00
2024-03-04,800.14,804.30,781.34,797.94,37965838,25196503040.00
2024-03-05,792.84,792.94,779.24,780.77,38049998,26268868608.00
2024-03-06,777.03,795.34,776.99,790.33,42401049,29762957312.00
2024-03-07,792.20,805.40,787.99,792.76,55063541,38300884992.00
2024-03-08,792.24,797.41,785.10,796.11,49016217,35314790400.00
2024-03-11,794.61,807.04,794.61,807.04,70555423,64088788992.00
2024-03-12,809.07,818.28,802.93,818.17,58379412,39445540864.00
2024-03-13,815.71,820.97,807.19,816.16,46745642,30355501056.00
2024-03-14,814.25,820.67,802.38,813.64,46816271,31622959104.00
2024-03-15,809.92,823.62,808.13,823.62,44032059,30675550208.00
2024-03-18,825.13,840.07,825.13,840.07,53519821,37091917824.00
2024-03-19,839.25,847.22,838.83,838.98,47454292,34352943104.00
2024-03-20,838.67,852.89,838.67,852.89,43934041,31874193408.00
2024-03-21,853.99,860.97,846.43,859.06,54073528,38409191424.00
2024-03-22,855.81,856.99,840.77,848.95,58382707,40175034368.00
2024-03-25,843.63,851.51,827.65,827.84,53097492,37375025152.00
2024-03-26,825.08,834.30,815.01,830.18,47659898,31542800384.00
2024-03-27,827.15,828.54,802.49,802.49,47940879,31646058496.00
2024-03-28,799.96,829.31,799.96,822.73,47573132,32364642304.00
2024-03-29,821.33,832.21,820.27,832.21,46669429,31875033088.00
2024-04-01,835.87,848.41,835.87,848.41,80624903,91522695168.00
2024-04-02,848.73,855.69,845.56,853.04,41485947,27439572992.00
2024-04-03,849.93,850.95,839.75,848.05,44135307,28344102912.00
2024-04-08,845.15,846.59,832.51,832.62,51157523,33955393536.00
2024-04-09,829.25,842.94,829.25,842.94,47700045,32455536640.00
2024-04-10,838.04,838.05,815.57,824.27,53894727,35696168960.00
2024-04-11,816.00,836.42,812.57,830.79,51283230,34520944640.00
2024-04-12,829.45,833.09,819.96,821.48,56059697,38367977472.00
2024-04-15,812.12,815.12,770.25,783.79,68954503,44220268544.00
2024-04-16,769.81,769.81,719.65,720.08,51333164,31000389632.00
2024-04-17,722.27,769.51,722.27,769.51,45826450,27236894720.00
2024-04-18,769.88,775.17,757.48,764.96,38535955,22733084672.00
2024-04-19,761.14,773.79,756.33,761.93,35839610,23024408576.00
