日期,开盘,最高,最低,收盘,成交量,成交额
2022-03-23,996.78,1026.81,995.79,1016.06,13934157,21044482048.00
2022-03-24,1011.29,1011.51,1000.96,1001.57,10712153,14859738112.00
2022-03-25,1004.73,1015.80,997.80,997.80,10571006,15739333632.00
2022-03-28,992.38,996.80,978.36,985.86,9914130,13033418752.00
2022-03-29,992.61,1007.25,982.63,985.53,11246626,18634659840.00
2022-03-30,989.29,1003.31,985.28,1001.54,10370090,15199681536.00
2022-03-31,999.14,999.20,985.92,988.81,10325378,14831434752.00
2022-04-01,983.83,991.05,979.80,987.64,10811133,15029805056.00
2022-04-06,985.82,985.82,974.15,980.19,10353718,15067518976.00
2022-04-07,975.89,988.75,963.43,963.43,11491526,15178264576.00
2022-04-08,962.52,963.82,942.72,953.67,9851044,14247089152.00
2022-04-11,949.56,949.56,908.94,913.01,12147454,17841221632.00
2022-04-12,911.31,927.22,904.20,924.08,11166528,16139368448.00
2022-04-13,918.08,918.08,903.73,903.73,9434921,12007171072.00
2022-04-14,907.41,914.06,901.59,910.70,9660824,13440702464.00
2022-04-15,907.52,911.20,893.28,906.46,9499908,12751455232.00
2022-04-18,902.70,922.07,893.97,920.48,9947665,13280869376.00
2022-04-19,922.13,930.66,920.62,924.56,9590565,11619041280.00
2022-04-20,923.63,927.22,909.44,914.26,9376570,10971853824.00
2022-04-21,911.23,919.28,879.38,880.32,10076846,11864898560.00
2022-04-22,875.59,876.73,859.60,865.39,8644690,10853829632.00
2022-04-25,853.76,853.76,793.05,793.09,11788087,13560606720.00
2022-04-26,791.71,795.61,754.94,756.52,11135486,13982590976.00
2022-04-27,745.63,799.11,739.70,798.58,12959543,15517602816.00
2022-04-28,792.08,810.50,787.64,797.66,11182391,13713661952.00
2022-04-29,799.22,835.76,798.05,833.26,11713697,16011840512.00
2022-05-05,827.52,860.18,826.11,852.44,11821246,18790006784.00
2022-05-06,830.17,853.51,827.23,844.17,11156564,13591923712.00
2022-05-09,842.43,871.16,840.93,865.84,9353271,13953760256.00
2022-05-10,853.90,881.27,852.99,879.30,10956289,15788063744.00
2022-05-11,889.76,904.02,881.49,881.94,13330539,18503737344.00
2022-05-12,875.83,890.81,872.94,885.53,10516908,13158936576.00
2022-05-13,888.01,889.52,878.49,887.92,8451874,9991041024.00
2022-05-16,902.22,907.32,887.09,890.18,9167951,10976963584.00
2022-05-17,889.70,895.22,879.18,895.22,9412189,11207955456.00
2022-05-18,894.97,913.78,890.64,905.65,9255656,11446642688.00
2022-05-19,891.94,915.21,890.44,915.21,10095523,11687334912.00
2022-05-20,917.44,924.50,910.47,919.99,12729974,14053575680.00
2022-05-23,919.45,926.23,911.33,925.90,10343573,12856226816.00
2022-05-24,927.29,941.72,891.36,891.36,14858340,18602893312.00
2022-05-25,888.48,907.02,888.48,906.89,10369250,12037058560.00
2022-05-26,906.37,934.53,902.85,927.86,14985647,22332553216.00
2022-05-27,933.73,938.26,921.13,929.15,11421028,14616903680.00
2022-05-30,932.98,944.94,925.93,944.84,11433379,14795942912.00
2022-05-31,941.54,946.99,932.96,945.86,10214729,14606507008.00
2022-06-01,944.35,958.01,942.81,951.81,10207283,15726598144.00
2022-06-02,947.84,970.96,946.82,969.14,10498238,15034668032.00
2022-06-06,969.21,983.66,965.32,981.26,11592075,17590781952.00
2022-06-07,980.77,983.59,964.90,974.53,11001889,16175840256.00
2022-06-08,974.23,977.54,947.30,966.22,11905392,16580105216.00
2022-06-09,964.91,964.91,939.30,945.15,10315367,14313216000.00
2022-06-10,941.10,971.11,939.10,970.47,13593837,21090078720.00
2022-06-13,970.23,980.99,966.05,976.48,14347257,22367285248.00
2022-06-14,968.01,968.01,941.52,966.88,16151652,22457526272.00
2022-06-15,969.21,977.22,962.48,962.48,15717784,21008640000.00
2022-06-16,961.42,977.22,961.42,970.09,12081252,16220821504.00
2022-06-17,966.39,982.95,963.59,982.85,13809895,18153484288.00
2022-06-20,986.48,1003.93,986.11,1001.07,15424566,21529329664.00
2022-06-21,1001.67,1001.74,975.24,985.44,13297511,18482458624.00
2022-06-22,986.24,994.79,974.70,975.64,12000354,16081411072.00
2022-06-23,975.72,1024.16,975.72,1024.16,18476352,28580030464.00
2022-06-24,1029.87,1051.76,1029.04,1044.45,19356495,35166400512.00
2022-06-27,1049.24,1050.00,1036.36,1042.79,15807967,24745828352.00
2022-06-28,1041.10,1067.44,1041.10,1066.37,18011766,25216765952.00
2022-06-29,1062.85,1062.85,1025.99,1026.17,18398751,21276993536.00
2022-06-30,1026.01,1036.99,1022.66,1031.03,13398521,18849284096.00
2022-07-01,1031.52,1039.50,1025.45,1029.24,11639563,19424516096.00
2022-07-04,1035.95,1057.00,1024.35,1056.16,14885399,24454580224.00
2022-07-05,1055.68,1058.05,1034.56,1049.43,16284202,21219399680.00
2022-07-06,1045.64,1059.93,1034.74,1045.27,16677590,21244942336.00
2022-07-07,1042.59,1067.56,1042.05,1062.57,16245491,24074287104.00
2022-07-08,1060.91,1062.85,1044.20,1045.13,13103419,19552034816.00
