日期,开盘,最高,最低,收盘,成交量,成交额
2019-03-15,789.67,828.22,780.38,817.89,11779800,8914598912.00
2019-03-18,851.62,877.84,818.33,844.65,15738656,12013105152.00
2019-03-19,841.39,883.02,821.98,868.88,14652687,11755529216.00
2019-03-20,858.52,877.29,833.06,849.86,13260163,11279431680.00
2019-03-21,857.00,875.65,839.40,852.82,11157110,9822393344.00
2019-03-22,849.05,865.17,827.78,853.03,9700559,8744900608.00
2019-03-25,835.50,871.25,826.14,848.31,10358868,9148088320.00
2019-03-26,854.91,876.95,829.06,837.74,11454543,9750469632.00
2019-03-27,866.24,887.74,849.67,869.60,12516258,10627813376.00
2019-03-28,866.82,878.70,830.14,838.01,12946114,11342115840.00
2019-03-29,836.79,876.27,819.85,863.59,11382904,9813679104.00
2019-04-01,878.88,920.77,870.70,905.64,14731066,12966050816.00
2019-04-02,910.43,952.68,893.18,924.62,19042642,17192663040.00
2019-04-03,912.27,944.83,900.34,933.27,12933718,11987660800.00
2019-04-04,941.45,996.41,926.31,977.89,18418902,17954852864.00
2019-04-08,997.72,1042.04,968.66,1024.53,19823540,19299366912.00
2019-04-09,988.79,989.47,958.24,978.48,16076264,16673435648.00
2019-04-10,968.12,1000.62,959.30,975.65,15020689,17108552704.00
2019-04-11,971.52,995.95,967.13,967.82,15570756,18278334464.00
2019-04-12,979.94,1001.51,968.12,975.74,18588284,20885129216.00
2019-04-15,994.56,1000.42,974.84,975.77,17614833,20810379264.00
2019-04-16,972.37,1022.16,969.79,1022.16,16958352,20607717376.00
2019-04-17,1036.73,1087.40,1033.69,1080.32,25445570,30393837568.00
2019-04-18,1087.68,1114.60,1073.48,1094.85,31448628,37254164480.00
2019-04-19,1076.48,1121.64,1068.67,1104.34,32919258,37049204736.00
2019-04-22,1107.73,1121.10,1088.18,1102.78,37734932,35937189888.00
2019-04-23,1100.68,1100.68,1048.00,1053.57,34640476,31737694208.00
2019-04-24,1051.00,1081.66,1049.16,1078.54,30268310,29602029568.00
2019-04-25,1067.57,1067.57,996.46,997.39,37601932,32378322944.00
2019-04-26,980.58,998.53,966.51,967.75,28300839,24997832704.00
2019-04-29,968.84,972.04,915.12,917.85,28087887,23422693376.00
2019-04-30,909.43,931.04,906.93,926.29,21758821,18810716160.00
2019-05-06,879.89,884.59,842.99,845.86,21219008,16522097664.00
2019-05-07,844.63,873.02,834.46,850.39,23520503,19882311680.00
2019-05-08,824.30,860.42,820.22,836.88,22030775,17601058816.00
2019-05-09,824.97,847.50,824.56,826.63,18354307,14813323264.00
2019-05-10,843.28,867.35,820.52,866.53,25222191,21043417088.00
2019-05-13,854.00,858.52,844.23,851.34,19987060,17575507968.00
2019-05-14,836.91,856.48,836.91,847.77,19149395,15682952192.00
2019-05-15,857.69,888.32,853.95,884.97,23817505,21205342208.00
2019-05-16,887.28,896.84,880.96,884.92,26473167,23244025856.00
2019-05-17,880.73,881.50,827.19,832.48,25416907,20556742656.00
2019-05-20,825.47,826.10,792.02,816.29,16488112,12730701824.00
2019-05-21,815.67,843.57,815.38,840.96,16996043,13584498688.00
2019-05-22,840.68,842.85,821.98,830.55,16281614,12872449024.00
2019-05-23,825.71,828.97,808.57,812.01,13726150,10764350464.00
2019-05-24,808.34,825.62,808.19,815.75,13595814,11713238016.00
2019-05-27,813.82,842.50,804.85,840.26,18256742,14876453888.00
2019-05-28,836.27,848.60,831.91,836.29,20905258,16424587264.00
2019-05-29,832.21,841.12,829.69,832.93,16730484,12657130496.00
2019-05-30,832.00,834.93,817.07,827.94,17796976,13182832640.00
2019-05-31,826.88,832.60,817.79,818.21,15557216,12001827840.00
2019-06-03,810.14,813.37,783.33,784.73,15727385,11242285056.00
