日期,开盘,最高,最低,收盘,成交量,成交额
2015-09-02,1387.91,1458.90,1383.06,1457.88,78026850,75001544704.00
2015-09-07,1442.40,1463.52,1391.16,1394.63,54063362,54391816192.00
2015-09-08,1383.02,1417.96,1358.64,1414.77,38993285,37720780800.00
2015-09-09,1415.06,1447.94,1409.49,1439.96,61188951,65339834368.00
2015-09-10,1420.09,1435.95,1414.30,1421.84,37376496,39204978688.00
2015-09-11,1418.21,1429.07,1405.33,1413.71,26616218,28261730304.00
2015-09-14,1423.52,1427.55,1373.06,1404.42,55364057,55447973888.00
2015-09-15,1379.61,1392.67,1361.76,1377.46,40051641,38320111616.00
2015-09-16,1368.67,1447.30,1359.05,1428.34,45150129,43320995840.00
2015-09-17,1415.09,1440.86,1394.71,1395.32,48361715,48841904128.00
2015-09-18,1399.49,1407.41,1386.45,1390.86,28948714,29091422208.00
2015-09-21,1380.57,1405.67,1375.62,1403.44,30696217,31793338368.00
2015-09-22,1406.39,1424.69,1401.43,1413.42,35581670,37130608640.00
2015-09-23,1396.69,1403.38,1379.40,1380.96,29527336,29310824448.00
2015-09-24,1386.16,1392.63,1377.55,1386.85,22480461,23431774208.00
2015-09-25,1384.38,1395.29,1367.98,1384.00,30971793,29078927360.00
2015-09-28,1378.22,1379.99,1362.47,1375.95,19204026,18287630336.00
2015-09-29,1360.03,1364.28,1343.77,1349.11,20859529,19202412544.00
2015-09-30,1357.23,1363.56,1353.38,1353.81,18470063,18601738240.00
2015-10-08,1401.66,1404.19,1388.95,1389.92,30287944,32225046528.00
2015-10-09,1393.78,1408.84,1389.68,1405.28,27619899,28800325632.00
2015-10-12,1408.79,1455.59,1404.99,1444.81,50561151,51226165248.00
2015-10-13,1435.03,1441.89,1429.58,1437.22,33864046,34830807040.00
2015-10-14,1432.77,1440.33,1424.44,1428.87,34510699,36855279616.00
2015-10-15,1427.70,1452.05,1425.29,1452.04,40192765,41387581440.00
2015-10-16,1457.71,1469.00,1452.93,1467.66,48845831,51170594816.00
2015-10-19,1470.48,1479.74,1454.53,1461.65,45216062,47607603200.00
2015-10-20,1457.64,1472.61,1451.00,1472.61,43959627,49226039296.00
2015-10-21,1474.40,1490.04,1426.20,1466.01,67016589,69170520064.00
2015-10-22,1441.31,1466.73,1441.29,1466.33,44020185,46708383744.00
2015-10-23,1465.95,1479.16,1460.54,1475.76,48203248,51516469248.00
2015-10-26,1487.39,1494.37,1475.58,1483.94,44809705,50754269184.00
2015-10-27,1477.67,1483.34,1453.24,1482.65,45800436,52862205952.00
2015-10-28,1475.42,1480.56,1460.17,1461.97,36445259,42361442304.00
2015-10-29,1464.90,1470.21,1459.71,1462.82,27751822,32228110336.00
2015-10-30,1460.36,1473.78,1448.20,1458.91,30459962,37481447424.00
2015-11-02,1446.55,1459.16,1434.69,1434.69,31765905,38223630336.00
2015-11-03,1437.78,1442.26,1422.13,1426.24,23459835,30214795264.00
2015-11-04,1428.01,1481.41,1428.01,1481.40,45020346,55667851264.00
2015-11-05,1476.60,1545.83,1474.36,1513.56,89722538,101663121408.00
2015-11-06,1513.39,1542.53,1507.29,1540.67,70088206,81954791424.00
2015-11-09,1541.60,1584.72,1541.46,1565.83,75309657,90741874688.00
2015-11-10,1553.02,1572.41,1546.05,1559.09,61656109,77999742976.00
2015-11-11,1554.50,1556.90,1538.89,1553.41,50096958,62501462016.00
2015-11-12,1554.06,1554.22,1526.17,1534.10,45971851,56922681344.00
2015-11-13,1523.85,1532.64,1511.71,1512.82,40217018,52490960896.00
2015-11-16,1494.77,1519.33,1492.52,1519.33,37719899,50184925184.00
2015-11-17,1525.16,1548.55,1518.20,1522.44,49518780,64188497920.00
2015-11-18,1522.54,1529.11,1510.03,1515.70,38582164,51710676992.00
2015-11-19,1514.84,1527.43,1509.70,1527.30,36310607,41352400896.00
2015-11-20,1526.93,1528.19,1516.54,1521.99,37511331,45211729920.00
2015-11-23,1521.38,1525.12,1507.79,1511.19,33738040,42022182912.00
2015-11-24,1508.93,1510.98,1494.64,1510.77,28053584,34269665280.00
2015-11-25,1511.46,1519.18,1507.45,1518.77,32134858,38483333120.00
2015-11-26,1521.36,1526.23,1514.69,1516.49,35022163,43068645376.00
2015-11-27,1509.66,1511.31,1436.83,1443.92,46268089,54265892864.00
2015-11-30,1443.55,1458.19,1416.29,1446.38,36858002,43120578560.00
2015-12-01,1444.83,1462.73,1434.34,1453.85,32373882,40233816064.00
2015-12-02,1452.14,1511.98,1448.41,1510.64,50624830,62654033920.00
2015-12-03,1503.61,1534.88,1493.98,1530.13,46504752,52408143872.00
2015-12-04,1516.60,1517.93,1491.08,1493.44,32618835,40175411200.00
2015-12-07,1495.16,1498.12,1481.20,1490.33,25896929,32983562240.00
