日期,开盘,最高,最低,收盘,成交量,成交额
2015-09-02,1261.92,1320.87,1246.32,1303.55,28629030,36189073408.00
2015-09-07,1300.19,1346.10,1276.53,1278.82,14856509,19230664704.00
2015-09-08,1268.03,1327.13,1237.08,1326.49,13685187,17431162880.00
2015-09-09,1331.19,1385.77,1322.14,1367.79,21410757,28940939264.00
2015-09-10,1339.30,1352.78,1320.25,1327.70,12120677,15978733568.00
2015-09-11,1325.86,1345.92,1309.89,1319.58,8762095,11545169920.00
2015-09-14,1318.18,1320.59,1194.60,1249.28,20212087,25138145280.00
2015-09-15,1216.15,1246.17,1171.84,1185.51,11716111,13932783616.00
2015-09-16,1183.86,1294.87,1173.05,1276.93,14779711,18110904320.00
2015-09-17,1263.37,1294.50,1234.41,1234.41,13823282,17517125632.00
2015-09-18,1245.66,1257.22,1228.62,1239.74,8216330,10143099904.00
2015-09-21,1221.11,1267.58,1215.22,1263.36,9060884,11299905536.00
2015-09-22,1264.70,1348.61,1262.87,1314.54,18671027,24656351232.00
2015-09-23,1286.32,1299.44,1263.07,1263.94,11517841,14767469568.00
2015-09-24,1274.13,1286.21,1262.41,1274.81,8137534,10463095808.00
2015-09-25,1267.19,1274.64,1217.42,1228.08,8573611,10603233280.00
2015-09-28,1226.99,1246.96,1212.72,1245.26,5582958,6866246144.00
2015-09-29,1223.30,1268.68,1202.49,1236.16,8994782,10759013376.00
2015-09-30,1232.26,1274.32,1232.26,1240.85,9573854,11720850432.00
2015-10-08,1323.28,1323.28,1293.63,1294.37,15201851,19512418304.00
2015-10-09,1293.78,1341.41,1291.49,1331.86,14809954,19052140544.00
2015-10-12,1335.72,1438.49,1327.00,1412.66,23429859,31320915968.00
2015-10-13,1392.73,1413.70,1385.85,1402.72,12107766,16166739968.00
2015-10-14,1395.44,1434.38,1384.74,1384.74,15527475,20884086784.00
2015-10-15,1379.11,1431.86,1379.11,1431.86,15609363,20697784320.00
2015-10-16,1447.12,1482.47,1440.39,1463.70,22785599,31579293696.00
2015-10-19,1472.66,1553.33,1469.67,1501.31,25556741,36921311232.00
2015-10-20,1492.76,1524.89,1475.15,1524.89,16087809,23431501824.00
2015-10-21,1525.86,1529.04,1404.20,1437.80,21843617,31080968192.00
2015-10-22,1431.98,1463.67,1407.63,1463.62,13832747,19005274112.00
2015-10-23,1473.37,1497.41,1442.26,1488.03,14720292,20786370560.00
2015-10-26,1523.44,1576.24,1509.01,1521.76,23338442,34163314688.00
2015-10-27,1503.83,1518.91,1447.01,1512.67,13842309,19553544192.00
2015-10-28,1500.33,1513.41,1452.37,1455.57,11623310,16168379392.00
2015-10-29,1468.65,1474.78,1444.89,1455.01,9405051,13101860864.00
2015-10-30,1452.66,1534.33,1431.70,1493.24,21103600,30128279552.00
2015-11-02,1463.86,1499.81,1446.28,1447.40,14212267,19702816768.00
2015-11-03,1451.80,1471.94,1439.48,1454.31,12103974,16618911744.00
2015-11-04,1464.35,1599.76,1462.65,1599.76,35377483,50632085504.00
2015-11-05,1648.50,1759.99,1648.50,1725.72,68548097,108912328704.00
2015-11-06,1712.53,1896.27,1697.72,1883.94,65334712,107680702464.00
2015-11-09,1903.79,1980.99,1862.61,1868.69,69352532,119918837760.00
2015-11-10,1835.35,2007.50,1833.41,1907.44,60342691,104270462976.00
2015-11-11,1887.43,1988.21,1859.40,1955.88,45187963,77033799680.00
2015-11-12,1948.38,1967.40,1890.10,1914.75,40392442,70961700864.00
2015-11-13,1884.40,1980.94,1881.48,1933.30,41248024,70362341376.00
2015-11-16,1875.99,1911.36,1864.81,1909.29,27743319,47910084608.00
2015-11-17,1938.86,2053.00,1918.33,1927.17,57119772,102416695296.00
2015-11-18,1922.47,1965.99,1826.65,1842.73,41815096,76339101696.00
2015-11-19,1844.20,1890.14,1823.21,1890.14,24511115,43826470912.00
2015-11-20,1886.04,1886.04,1837.10,1855.42,21710228,38380081152.00
2015-11-23,1859.73,1905.90,1820.28,1828.97,22523473,39693045760.00
2015-11-24,1819.59,1894.88,1815.98,1871.43,23901235,41782587392.00
2015-11-25,1847.71,1886.29,1841.07,1882.30,21253291,37886222336.00
2015-11-26,1899.22,1939.43,1858.35,1858.93,24455369,44575498240.00
2015-11-27,1826.05,1828.28,1691.07,1692.36,32016440,53529563136.00
2015-11-30,1674.85,1711.15,1607.38,1682.13,27455311,43647451136.00
2015-12-01,1671.97,1696.86,1651.19,1678.59,15926361,25616101376.00
2015-12-02,1676.56,1798.52,1670.36,1783.79,28566898,46456479744.00
2015-12-03,1770.18,1822.33,1756.31,1785.92,23137370,39253831680.00
2015-12-04,1764.92,1769.80,1728.25,1740.02,16588796,27598428160.00
2015-12-07,1734.41,1737.16,1699.12,1718.15,12638579,21248899072.00
2015-12-08,1705.96,1737.80,1683.98,1687.53,13032340,21623463936.00
2015-12-09,1679.62,1717.29,1675.28,1691.94,11102161,18441895936.00
2015-12-10,1703.76,1781.09,1699.42,1705.09,20286725,35047919616.00
2015-12-11,1680.61,1752.22,1664.42,1719.81,17992823,31358939136.00
2015-12-14,1698.84,1878.24,1692.95,1878.18,32213986,56201252864.00
2015-12-15,1870.35,1870.45,1815.43,1821.61,26882667,49518551040.00
2015-12-16,1829.30,1870.15,1817.73,1828.28,20151469,36853268480.00
2015-12-17,1850.56,1891.52,1831.27,1853.46,25394848,46982959104.00
2015-12-18,1847.49,1864.47,1823.25,1833.88,16811781,30349293568.00
2015-12-21,1826.64,1897.57,1824.16,1863.83,21790893,39589928960.00
2015-12-22,1864.70,1900.11,1854.62,1888.77,21561708,36319825920.00
2015-12-23,1894.86,2009.53,1890.01,1922.68,46039232,83889029120.00
2015-12-24,1902.06,1905.08,1814.47,1846.16,27607930,48894996480.00
2015-12-25,1847.98,1865.91,1825.04,1851.72,14486094,25353785344.00
2015-12-28,1866.20,1875.44,1773.14,1773.19,21401447,36807618560.00
2015-12-29,1772.27,1798.36,1772.26,1797.94,11272701,20437809152.00
2015-12-30,1798.48,1802.47,1765.46,1792.51,12283729,21825200128.00
2015-12-31,1789.47,1805.33,1767.10,1767.15,11059003,19745374208.00
2016-01-04,1756.99,1763.24,1600.24,1600.33,12977683,21130481664.00
2016-01-05,1548.95,1627.05,1526.75,1603.20,17708056,27322894336.00
2016-01-06,1598.97,1636.70,1574.46,1627.94,14162958,22256125952.00
2016-01-07,1579.99,1585.76,1469.69,1473.75,4736895,6779993600.00
2016-01-08,1504.65,1575.80,1431.24,1513.94,23455340,34113490944.00
2016-01-11,1466.01,1484.45,1387.81,1387.94,18680794,25972617216.00
2016-01-12,1407.84,1446.25,1397.36,1411.91,16251723,22670727168.00
2016-01-13,1423.64,1449.73,1401.86,1404.05,17632515,25103026176.00
2016-01-14,1391.29,1450.97,1354.94,1448.28,17223105,24021678080.00
2016-01-15,1438.84,1441.12,1384.84,1401.27,14660063,21389684736.00
2016-01-18,1372.24,1429.03,1372.09,1406.77,10771378,15295834112.00
2016-01-19,1408.49,1468.48,1401.03,1458.76,15927329,23503206400.00
2016-01-20,1452.80,1467.05,1432.82,1444.40,13576898,20302299136.00
2016-01-21,1423.74,1463.83,1375.89,1375.89,13195064,19092920320.00
2016-01-22,1393.34,1407.82,1357.79,1395.52,9652419,13780595712.00
2016-01-25,1402.08,1416.96,1388.16,1400.90,8765998,11460142080.00
2016-01-26,1381.81,1385.97,1271.39,1274.01,15163448,19615782912.00
2016-01-27,1277.39,1286.59,1205.72,1253.47,16479089,19943440384.00
2016-01-28,1242.74,1283.40,1215.60,1221.12,13477670,16437223424.00
2016-01-29,1227.79,1305.24,1227.17,1293.83,17685177,22052726784.00
2016-02-01,1284.03,1287.67,1248.50,1269.20,11602553,14501805056.00
2016-02-02,1270.74,1317.57,1269.99,1305.90,11549153,14540941312.00
2016-02-03,1289.69,1303.11,1273.84,1297.54,9677665,11367498752.00
2016-02-04,1305.88,1331.76,1305.88,1318.62,11382128,14209117184.00
2016-02-05,1297.43,1303.87,1273.01,1273.01,10726058,13185444864.00
2016-02-15,1226.07,1260.96,1225.70,1253.24,7693689,9042903040.00
2016-02-16,1265.17,1320.03,1265.17,1315.61,13600386,17423380480.00
2016-02-17,1310.10,1330.26,1305.40,1328.92,12516385,16035279872.00
2016-02-18,1342.04,1374.12,1325.42,1326.44,14934801,19397773312.00
2016-02-19,1322.11,1344.26,1316.36,1334.94,9618816,12428506112.00
2016-02-22,1357.15,1402.89,1341.31,1382.66,17650620,23875502080.00
2016-02-23,1381.67,1381.67,1339.54,1356.65,11757806,15392242688.00
2016-02-24,1352.23,1369.52,1329.54,1369.19,11044388,14511902720.00
2016-02-25,1364.77,1364.77,1239.13,1246.08,16575330,20592873472.00
2016-02-26,1259.46,1271.03,1226.90,1255.65,11440251,13951648768.00
2016-02-29,1245.99,1245.99,1171.98,1206.43,14360031,16759589888.00
2016-03-01,1211.98,1291.40,1197.27,1257.23,15481591,18956619776.00
2016-03-02,1260.93,1342.47,1256.55,1338.03,21388033,27362349056.00
2016-03-03,1330.16,1353.14,1320.15,1330.09,18040031,23137079296.00
2016-03-04,1323.52,1349.51,1307.56,1337.16,21782574,27947063296.00
2016-03-07,1353.06,1369.85,1339.07,1346.97,14292438,18919663616.00
2016-03-08,1344.36,1346.47,1285.55,1346.47,13611013,17395904512.00
2016-03-09,1314.05,1336.24,1301.85,1327.17,11623277,15038513152.00
2016-03-10,1318.55,1329.09,1284.17,1284.43,8169027,10458522624.00
2016-03-11,1268.37,1317.17,1267.43,1302.90,9866915,13017778176.00
2016-03-14,1315.36,1372.01,1311.77,1336.56,16982954,22435706880.00
2016-03-15,1330.43,1333.84,1307.39,1327.73,9669660,12667571200.00
2016-03-16,1326.28,1347.25,1325.57,1330.79,13786704,17672232960.00
2016-03-17,1335.33,1386.65,1327.79,1369.30,18339122,23924658176.00
2016-03-18,1375.57,1440.67,1372.36,1422.75,29288808,38707748864.00
2016-03-21,1470.53,1565.01,1470.53,1564.57,54111027,75694374912.00
2016-03-22,1542.52,1561.90,1511.84,1523.63,37127457,55364661248.00
2016-03-23,1510.09,1561.52,1497.42,1553.01,28959117,43154243584.00
2016-03-24,1519.73,1527.87,1480.55,1480.55,23326520,36149932032.00
2016-03-25,1474.44,1501.02,1472.43,1494.46,17656839,27933626368.00
2016-03-28,1495.29,1510.83,1454.78,1458.36,16804973,24781668352.00
2016-03-29,1460.83,1477.48,1431.50,1452.08,17371852,26213289984.00
2016-03-30,1475.20,1506.17,1475.20,1501.38,21705217,32895473664.00
2016-03-31,1510.48,1546.06,1492.90,1505.53,22751244,35081916416.00
2016-04-01,1496.74,1509.48,1462.91,1494.26,15603701,23912876032.00
2016-04-05,1489.80,1544.30,1487.55,1524.31,20135727,30878515200.00
2016-04-06,1521.34,1530.18,1496.59,1513.27,14105300,21230981120.00
2016-04-07,1518.78,1525.80,1475.22,1475.98,13310024,20800329728.00
2016-04-08,1460.23,1461.76,1427.24,1446.00,13594433,20552482816.00
2016-04-11,1494.24,1520.02,1488.12,1488.35,21445720,30459123712.00
2016-04-12,1481.44,1489.86,1463.34,1482.71,11723727,15671728128.00
2016-04-13,1496.26,1557.13,1496.26,1524.63,28763164,40744165376.00
2016-04-14,1532.14,1538.01,1514.44,1533.90,13806129,19744737280.00
2016-04-15,1531.81,1535.61,1515.05,1524.98,10962154,15784678400.00
2016-04-18,1508.16,1508.16,1481.25,1486.44,12448075,17359794176.00
2016-04-19,1497.29,1501.75,1479.54,1497.92,9846166,13829020672.00
2016-04-20,1498.33,1500.53,1416.32,1469.84,20116367,27292680192.00
2016-04-21,1448.70,1475.38,1442.20,1445.99,12449693,18706710528.00
2016-04-22,1433.88,1459.77,1431.16,1457.65,9536354,14093228032.00
2016-04-25,1447.79,1447.79,1420.31,1433.65,8721190,12628711424.00
2016-04-26,1434.80,1455.91,1427.51,1449.58,8866380,13460012032.00
2016-04-27,1447.96,1450.37,1427.95,1429.08,8423305,12496121856.00
2016-04-28,1431.86,1435.25,1406.59,1424.79,9939891,14901874688.00
2016-04-29,1416.83,1426.10,1415.30,1417.52,6901061,10104709120.00
2016-05-03,1418.36,1463.48,1414.66,1453.55,14231522,20570531840.00
2016-05-04,1444.05,1453.41,1438.85,1445.54,9119134,13552105472.00
2016-05-05,1439.93,1450.89,1437.65,1447.52,7930611,11471702016.00
2016-05-06,1449.49,1453.10,1387.46,1387.46,14194734,20410902528.00
2016-05-09,1372.20,1372.25,1332.66,1341.16,11783724,15804495872.00
2016-05-10,1333.92,1349.49,1330.25,1338.03,7281432,9785680896.00
2016-05-11,1347.53,1350.71,1328.39,1331.84,7158585,9589526528.00
2016-05-12,1317.89,1344.37,1305.13,1341.45,8200842,10908809216.00
2016-05-13,1337.14,1348.69,1324.10,1330.78,6373714,8426761216.00
2016-05-16,1323.83,1341.75,1317.65,1341.63,5498904,7409093632.00
2016-05-17,1344.26,1364.21,1329.38,1346.74,8244745,11597249536.00
2016-05-18,1335.23,1355.81,1322.47,1349.28,12030406,17341923328.00
2016-05-19,1342.85,1357.87,1339.53,1343.04,8166239,12612928512.00
2016-05-20,1332.33,1360.86,1328.14,1360.86,8732404,12643422208.00
2016-05-23,1360.01,1377.32,1355.76,1363.79,9753561,14576184320.00
2016-05-24,1360.01,1360.01,1342.71,1345.65,6257168,8976394240.00
2016-05-25,1357.46,1371.91,1349.02,1349.05,7617833,11595314176.00
2016-05-26,1347.44,1359.11,1331.37,1356.37,7850345,11278915584.00
2016-05-27,1353.30,1359.56,1344.87,1349.59,6066227,9041269760.00
2016-05-30,1344.85,1363.35,1334.01,1355.43,6833623,9836527616.00
2016-05-31,1357.26,1464.74,1357.26,1462.16,26553789,36875157504.00
2016-06-01,1468.50,1479.49,1444.13,1444.18,22174180,33250981888.00
2016-06-02,1442.76,1460.95,1438.79,1456.53,15368667,23706263552.00
2016-06-03,1456.69,1482.53,1441.60,1458.52,18054803,28136978432.00
2016-06-06,1458.11,1462.85,1442.53,1446.59,9679598,15187987456.00
2016-06-07,1450.30,1468.26,1450.30,1455.52,11421969,17298817024.00
2016-06-08,1452.53,1458.30,1434.43,1447.41,11993188,19984971776.00
2016-06-13,1423.84,1437.50,1375.27,1375.80,12290561,18653810688.00
2016-06-14,1370.26,1391.85,1365.47,1389.49,10993899,16052233216.00
2016-06-15,1363.53,1434.45,1362.00,1411.63,13602928,20536692736.00
2016-06-16,1404.64,1407.85,1389.32,1391.76,8679147,13025057792.00
2016-06-17,1396.92,1426.31,1396.75,1404.06,10082418,15924692992.00
