日期,开盘,最高,最低,收盘,成交量,成交额
2021-12-27,1002.01,1038.93,994.31,1015.47,6836421,25535887360.00
2021-12-28,1022.28,1095.40,1022.28,1091.15,10845312,41861279744.00
2021-12-29,1089.69,1137.03,1089.54,1106.21,12655305,46778654720.00
2021-12-30,1111.75,1119.75,1090.50,1095.63,10385190,34328602624.00
2021-12-31,1106.11,1142.65,1104.31,1140.13,11938214,41201623040.00
2022-01-04,1155.77,1159.37,1072.11,1078.35,14065700,47523852288.00
2022-01-05,1068.11,1069.45,1033.73,1040.23,9311332,30432129024.00
2022-01-06,1030.94,1085.57,1023.66,1073.68,9666669,33466116096.00
2022-01-07,1064.32,1067.65,1007.66,1007.66,11052231,35230945280.00
2022-01-10,1005.87,1037.73,1000.37,1019.60,8065553,27056220160.00
2022-01-11,1017.88,1028.85,993.88,1004.26,9437213,38664265728.00
2022-01-12,1034.40,1041.46,1016.95,1036.72,10053565,47966814208.00
2022-01-13,1038.55,1039.21,1002.28,1007.31,9800987,43499270144.00
2022-01-14,998.09,1021.50,996.21,1015.79,7471877,32093626368.00
2022-01-17,1012.40,1028.20,1002.88,1023.43,7857637,34790125568.00
2022-01-18,1019.00,1029.44,1009.98,1020.92,7274536,28602296320.00
2022-01-19,1016.59,1016.59,956.85,966.49,8939475,40731668480.00
2022-01-20,959.87,961.45,934.16,938.73,8778996,34525716480.00
2022-01-21,939.64,964.33,925.97,947.04,8105938,29275035648.00
2022-01-24,937.78,1002.81,937.20,995.93,12389675,45212684288.00
2022-01-25,990.05,1003.73,972.76,972.76,9716997,40099905536.00
2022-01-26,988.88,993.22,965.25,983.25,7568320,31122632704.00
2022-01-27,990.13,998.52,961.32,961.40,7615564,32533362688.00
2022-01-28,966.39,973.21,926.48,940.04,7395786,34922004480.00
2022-02-07,974.26,992.25,951.15,959.60,7290062,35059920896.00
2022-02-08,958.35,958.35,905.42,933.26,6822413,31323475968.00
2022-02-09,936.45,963.62,919.59,960.90,8825927,36386750464.00
2022-02-10,964.68,966.56,934.36,946.77,7749230,32846159872.00
2022-02-11,939.22,979.84,925.54,947.45,10666488,44582469632.00
2022-02-14,940.03,978.44,934.31,959.36,8212130,35989393408.00
2022-02-15,964.83,984.50,949.13,984.45,7599957,34876125184.00
2022-02-16,999.60,1013.80,984.11,988.31,8355034,37185413120.00
2022-02-17,988.00,1051.75,983.67,1040.86,16198891,66686832640.00
2022-02-18,1024.33,1040.71,1023.11,1030.19,10098402,41393172480.00
2022-02-21,1029.94,1046.32,1020.86,1036.99,10099245,43666964480.00
2022-02-22,1055.82,1064.91,1039.68,1061.65,12848391,57682219008.00
2022-02-23,1064.63,1089.01,1061.28,1087.73,13134775,59469963264.00
2022-02-24,1069.88,1081.58,1032.86,1053.51,14688280,63287414784.00
2022-02-25,1077.06,1094.07,1069.13,1077.88,11511588,50478272512.00
2022-02-28,1079.67,1103.58,1074.97,1099.33,11719093,51280461824.00
2022-03-01,1102.24,1102.54,1051.46,1065.63,13489492,60984123392.00
2022-03-02,1060.70,1068.65,1044.37,1059.88,10285939,40791613440.00
2022-03-03,1064.09,1066.94,1041.35,1045.23,10572609,42505220096.00
2022-03-04,1031.70,1051.21,1008.59,1014.39,9353979,45143265280.00
2022-03-07,1009.42,1016.07,989.16,995.22,8002079,39054540800.00
2022-03-08,995.97,1003.72,919.08,926.08,11388787,55381524480.00
2022-03-09,925.13,927.73,873.07,918.36,9523620,42854817792.00
2022-03-10,955.13,962.67,929.51,950.81,10337918,51126534144.00
2022-03-11,924.70,946.93,909.71,944.80,8022513,38302760960.00
2022-03-14,926.94,940.74,915.00,915.50,7759650,34998501376.00
2022-03-15,899.79,942.41,898.91,902.38,8991881,43592171520.00
2022-03-16,926.93,960.84,899.11,957.04,12229257,59040309248.00
2022-03-17,979.47,993.29,957.39,960.23,12536966,62458400768.00
